id,externalId,name,isString,isStep,description,securityCategories,unit,tag,scan,span,step,zero,recno,excdev,excmax,excmin,exdesc,future,compdev,compmax,compmin,convers,pointid,srcptid,engunits,shutdown,userint1,userint2,archiving,location1,location2,location3,location4,location5,pointtype,ptclassid,sourcetag,totalcode,userreal1,userreal2,descriptor,digitalset,filtercode,ptclassrev,squareroot,compressing,pointsource,ptclassname,typicalvalue,displaydigits,excdevpercent,instrumenttag,compdevpercent
4919195407584135,pi:160612,VAL_23-PC-9109-M01:Z.Y.Value,False,False,PH 1stStg Comp Lube Oil Pump,[],,VAL_23-PC-9109-M01:Z.Y.Value,1,1,1,147,145112,0,600,0,,0,0,28800,0,1,160612,0,,0,0,0,1,1,0,1,1,0,Digital,2,,0,0,0,PH 1stStg Comp Lube Oil Pump,Valhall_True_False,0,1,0,1,VLH_PCN1,classic,0,-5,0,23-PC-9109-M01:Z.Y.Value,0
4930301917643952,pi:160129,VAL_23_YT_96133_02:Z.X.Value,False,False,PH 1stStg MtrJourn BRG NDE,[],,VAL_23_YT_96133_02:Z.X.Value,1,100,0,0,144629,0,600,0,,0,0,28800,0,1,160129,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg MtrJourn BRG NDE,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_YT_96133_02:Z.X.Value,0
5018927156708964,pi:160067,VAL_23_KA_9101_M01_60A:Z.X.Value,False,False,PH 1stStg Comp Mtr Current,[],,VAL_23_KA_9101_M01_60A:Z.X.Value,0,100,0,0,144567,0,600,0,,0,0,28800,0,1,160067,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Comp Mtr Current,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23_KA_9101_M01_60A:Z.X.Value,0
5028020536643759,pi:160262,VAL_23-KA-9101-M01_Winding_Temperature_V1:VALUE,False,False,PH (SwitchGear),[],degC,VAL_23-KA-9101-M01_Winding_Temperature_V1:VALUE,1,100,0,0,144762,0,600,0,,0,0,28800,0,1,160262,0,degC,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (SwitchGear),,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-KA-9101-M01_Winding_Temperature_V1:VALUE,0
5031172542069901,pi:160149,VAL_23-ESDV-92551A-PST:VALUE,False,False,PH,[],,VAL_23-ESDV-92551A-PST:VALUE,1,1,1,147,144649,0,600,0,,0,0,28800,0,1,160149,0,,0,0,0,1,1,2,1,1,0,Digital,2,,0,0,0,PH,Valhall_True_False,0,1,0,1,VLH_PCN5,classic,0,-5,0,23-ESDV-92551A-PST:VALUE,0
5045247687525898,pi:161003,VAL_23-XA-96124-A:Z.X.Value,False,False,PH 1stStg KEYPH Gear1 Shaft,[],,VAL_23-XA-96124-A:Z.X.Value,0,100,0,0,145503,0,600,0,,0,0,28800,0,1,161003,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg KEYPH Gear1 Shaft,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-XA-96124-A:Z.X.Value,0
5072057089327425,pi:160921,VAL_23-TT-96115-03:Z.X.Value,False,False,PH 1stStg Gear Thrust BRG IN,[],,VAL_23-TT-96115-03:Z.X.Value,0,100,0,0,145421,0,600,0,,0,0,28800,0,1,160921,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Gear Thrust BRG IN,,0,1,0,1,LAB-WAS-VAL,classic,50,-5,0,23-TT-96115-03:Z.X.Value,0
5073354318914612,pi:160581,VAL_23-NY-96144-06:VALUE,False,False,PH (CBM) Phase C Positive NQN,[],-,VAL_23-NY-96144-06:VALUE,1,100,0,0,145081,0,600,0,,0,0,28800,0,1,160581,0,-,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH (CBM) Phase C Positive NQN,,0,1,0,1,VLH_PCN5,classic,50,-5,0,23-NY-96144-06:VALUE,0
5142076309052188,pi:163583,VAL_45-PT-92609:X.Value,False,False,PH 1stStgDiscCool CM Out,[],,VAL_45-PT-92609:X.Value,1,100,0,0,148083,0,600,0,,0,0,28800,0,1,163583,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgDiscCool CM Out,,0,1,0,1,VLH_PCN1,classic,50,-5,0,45-PT-92609:X.Value,0
5152437222480728,pi:160131,VAL_23_YT_96134_02:Z.X.Value,False,False,PH 1stStg Mtr Journ BRG DE,[],,VAL_23_YT_96134_02:Z.X.Value,1,100,0,0,144631,0,600,0,,0,0,28800,0,1,160131,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Mtr Journ BRG DE,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_YT_96134_02:Z.X.Value,0
