name,parentId,description,id,ELC_STATUS_ID,RES_ID,SOURCE_DB,SOURCE_TABLE,WMT_AREA_ID,WMT_CATEGORY_ID,WMT_CONTRACTOR_ID,WMT_FUNC_CODE_ID,WMT_LOCATION_ID,WMT_PO_ID,WMT_SAFETYCRITICALELEMENT_ID,WMT_SYSTEM_ID,WMT_TAG_CREATED_DATE,WMT_TAG_CRITICALLINE,WMT_TAG_DESC,WMT_TAG_GLOBALID,WMT_TAG_HISTORYREQUIRED,WMT_TAG_ID,WMT_TAG_ID_ANCESTOR,WMT_TAG_ISACTIVE,WMT_TAG_ISOWNEDBYPROJECT,WMT_TAG_LOOP,WMT_TAG_MAINID,WMT_TAG_NAME,WMT_TAG_UPDATED_BY,WMT_TAG_UPDATED_DATE,WMT_TAG_STATUSCHGDATE,WMT_TAG_COMMENT,WMT_TAG_SUFFIX,WMT_SYSTEM_ACTIVE,WMT_SYSTEM_CODE,WMT_SYSTEM_DESC,WMT_SYSTEM_NAME,WMT_LOCATION_ACTIVE,WMT_LOCATION_CODE,WMT_LOCATION_EXTENDACTIVEWOP,WMT_LOCATION_EXTERNALOWNERSHIP,WMT_LOCATION_MAITIS,WMT_LOCATION_NAME,WMT_LOCATION_NOCOPIESDEFAULTIC,WMT_LOCATION_NOCOPIESWOPERMIT,WMT_LOCATION_OPERATIONHOURS,WMT_LOCATION_PROGVALUE,WMT_LOCATION_SIMULATETIMEFRAME,WMT_LOCATION_SJAMAXNOOFTASKS,WMT_LOCATION_USEPLOTALTITUDE,WMT_LOCATION_WORKSTART
23-NE-96144-03,6231088176695610,VRD - PH 1STSTGCMP MTR PARTIAL DISCH,5977913965261802,1211,,workmate,wmate_dba.wmt_tag,1444,1116,1686,9283,1004,8309,,4440,2009-10-05 17:21:12,N,VRD - PH 1STSTGCMP MTR PARTIAL DISCH,1000000000723055,Y,364492,682996,1,0,96144,681760,23-NE-96144-03,1001,2015-10-08 08:48:05,,,,,,,,,,,,,,,,,,,,,
23-PDT-92551,8007172251338373,VRD - PH 1STSTGDISCCOOL GAS OUT ESDV,5978196855170341,1211,505261,workmate,wmate_dba.wmt_tag,1585,1116,1686,4507,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGDISCCOOL GAS OUT ESDV,1000000000705483,Y,346177,345657,1,0,92551,681760,23-PDT-92551,9802,2013-12-09 12:53:00,,Added Setting for Event_alarm_L (Ref: VRD-CCR-000505),,,,,,,,,,,,,,,,,,,
23-HV-96172-03,3054772564438889,VRD - PH 1STSTGINNERLKGE PSV OUT,5988216049491569,1211,444136,workmate,wmate_dba.wmt_tag,1600,1116,1686,4418,1004,8309,,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGINNERLKGE PSV OUT,1000000000716873,Y,346016,346248,1,0,96172,681760,23-HV-96172-03,8137,2017-06-26 12:42:56,2017-06-26 12:42:56,,,,,,,,,,,,,,,,,,,,
23-TIC-96148,8515799768286580,SOFT TAG VRD - PH 1STSTG COMP SEAL GAS HTR,5990781248552542,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11275,1004,,,4440,2013-05-16 11:50:16,N,SOFT TAG VRD - PH 1STSTG COMP SEAL GAS HTR,1000000000291971,Y,698805,346633,1,0,,681760,23-TIC-96148,1001,2015-10-09 11:56:30,,TAG CHANGED FROM 23-TI -96148. ( REF: VRD-BP-VID-EQ-000663),,,,,,,,,,,,,,,,,,,
23-TAH-96131-01,40737621439156,VRD - PH 1STSTG MOTOR JOURN BRG NDE : TEMPERATURE ALARM HIGH,5993723825546671,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11405,1004,8309,,4440,2013-04-23 10:10:49,N,VRD - PH 1STSTG MOTOR JOURN BRG NDE : TEMPERATURE ALARM HIGH,1000000000284939,Y,696115,346435,1,0,,681760,23-TAH-96131-01,1001,2015-10-06 12:28:29,,,,,,,,,,,,,,,,,,,,,
23-GK-9111B,2499711953216311,VRD - 1ST STAGE COMPRESSOR ENCLOSURE VENT FAN B,5995532647283698,1225,,workmate,wmate_dba.wmt_tag,1600,1120,1686,6262,1004,8309,1033,4440,2009-06-26 15:36:37,N,VRD - 1ST STAGE COMPRESSOR ENCLOSURE VENT FAN B,1000000000706274,Y,345944,682542,0,0,,681760,23-GK-9111B,8137,2017-04-05 08:33:51,2017-04-05 08:33:51,"Manufacturer: Woodcock and Wilson / Model: BFN-630/660 / Includes fan motor 23-GK-9107B, Capacity: 5 m3/sec (max), Size: 1103 mm L x 1194 mm W x 1265 mm H, Operating conditions: 425 Pa over pressure",B,,,,,,,,,,,,,,,,,,
23-ZI-92543,1025718354341572,SOFT TAG VRD - PH 1STSTGCOMP ANTI-SURGE,6001442837238770,1211,,workmate,wmate_dba.wmt_tag,1585,1152,1686,11275,1004,,,4440,2012-12-13 14:18:45,N,SOFT TAG VRD - PH 1STSTGCOMP ANTI-SURGE,1000000000251120,Y,683333,347096,1,0,,681760,23-ZI-92543,1001,2015-10-09 11:56:30,2014-10-06 07:45:16,,,,,,,,,,,,,,,,,,,,
23-TI-92512,5439867226448359,SOFT TAG VRD - PH 1STSTGSUCTCOOL GAS IN,6024308660216988,1211,,workmate,wmate_dba.wmt_tag,1585,1152,1686,11275,1004,,,4440,2012-12-13 14:15:35,N,SOFT TAG VRD - PH 1STSTGSUCTCOOL GAS IN,1000000000250902,Y,683121,346601,1,0,,681760,23-TI-92512,1001,2015-10-09 11:56:30,2014-10-06 07:45:12,,,,,,,,,,,,,,,,,,,,
48-FXY-96960,3476609559144829,VRD - RELEASED BANK WATER MIST,6027404172473511,1225,,workmate,wmate_dba.wmt_tag,1600,1116,1327,6213,1004,,1033,2491,2010-09-22 17:10:17,N,VRD - RELEASED BANK WATER MIST,1000000000930994,Y,527283,411403,0,0,,681760,48-FXY-96960,1001,2015-10-08 10:03:59,2013-07-16 10:55:46,,,,,,,,,,,,,,,,,,,,
23-FZSL-92542,4168462116468060,VRD - PH 1STSTGCOMP HOT GAS BP,6037690821722668,1211,530895,workmate,wmate_dba.wmt_tag,1600,1116,1686,4646,1004,8309,1069,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTGCOMP HOT GAS BP,1000000000705433,Y,345899,345883,1,0,92542,681760,23-FZSL-92542,8137,2017-01-26 08:31:56,2010-12-14 10:15:40,,,,,,,,,,,,,,,,,,,,
23-PSL-96140,6191827428964450,VRD - PH 1STSTG MOTOR PURGE UNIT,6043604806066673,1211,,workmate,wmate_dba.wmt_tag,1600,1116,1686,4522,1004,8309,1060,4440,2009-06-26 15:36:37,N,VRD - PH 1STSTG MOTOR PURGE UNIT,1000000000706530,Y,346225,346066,1,0,96140,681760,23-PSL-96140,9802,2013-12-09 12:53:03,,"The pressure switch is a part of Expo minipuge unit D258, enclosure Ex(P) system D258, Certificate : Sira 01ATEX1295X & BASEEFA 04ATEX 0218. Also the pressure switch is Exd. NON-IS",,,,,,,,,,,,,,,,,,,
23-TAH-96115-01,1491649372046525,VRD - PH 1STSTGGEAR THRUST BRG IN : TEMPERATURE ALARM HIGH,6045310336893249,1211,,workmate,wmate_dba.wmt_tag,1600,1152,1686,11405,1004,8309,,4440,2015-10-06 12:18:23,N,VRD - PH 1STSTGGEAR THRUST BRG IN : TEMPERATURE ALARM HIGH,1000000000112736,Y,770201,346427,1,0,,681760,23-TAH-96115-01,1001,2015-10-06 13:14:14,,,,,,,,,,,,,,,,,,,,,
